"Adduct","charge","cluster index","componentindex","Compound_Name","Compound_Source","Data_Collector","DefaultGroups","document","G1","G2","G3","G4","G5","G6","GNPSLibraryURL","GNPSLinkout_Cluster","GNPSLinkout_Network","INCHI","Instrument","Ion_Source","IonMode","Library_Class","MassDiff","motif","motif_100","motif_101","motif_102","motif_103","motif_104","motif_106","motif_107","motif_108","motif_110","motif_114","motif_115","motif_116","motif_119","motif_120","motif_121","motif_122","motif_124","motif_125","motif_126","motif_127","motif_128","motif_129","motif_130","motif_131","motif_132","motif_133","motif_137","motif_138","motif_139","motif_140","motif_142","motif_143","motif_145","motif_146","motif_147","motif_148","motif_149","motif_150","motif_152","motif_153","motif_155","motif_156","motif_157","motif_158","motif_159","motif_162","motif_164","motif_165","motif_166","motif_167","motif_168","motif_169","motif_170","motif_171","motif_173","motif_176","motif_177","motif_178","motif_179","motif_180","motif_33","motif_34","motif_36","motif_37","motif_38","motif_39","motif_42","motif_43","motif_44","motif_46","motif_47","motif_49","motif_51","motif_52","motif_53","motif_55","motif_57","motif_58","motif_59","motif_60","motif_62","motif_63","motif_66","motif_67","motif_68","motif_69","motif_70","motif_71","motif_72","motif_74","motif_76","motif_78","motif_79","motif_81","motif_82","motif_84","motif_85","motif_86","motif_87","motif_89","motif_92","motif_96","motif_97","motif_98","motifdb_annotation","motifdb_url","MQScore","MZErrorPPM","name","number of spectra","overlap","parent mass","parentrt","PI","precursor mass","precursormass","probability","rhamn_motif_108.m2m","rhamn_motif_117.m2m","rhamn_motif_120.m2m","rhamn_motif_121.m2m","rhamn_motif_153.m2m","rhamn_motif_163.m2m","rhamn_motif_167.m2m","rhamn_motif_172.m2m","rhamn_motif_28.m2m","rhamn_motif_34.m2m","rhamn_motif_60.m2m","RTConsensus","RTMean","selected","shared name","SharedPeaks","Smiles","SpectrumID","sum(precursor intensity)","UniqueFileSources"
,"0","2295","479",,,,"G2","","0.0","1.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2295&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=479&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,"2295","1","","4023.72","",,"1341.91","","",,,,,,,,,,,,"0.0","2633.2","false","2295",,,,"443802.0","Qe04833.mzML"
,"0","2294","8",,,,"G5","","0.0","0.0","0.0","0.0","1.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2294&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=8&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,"2294","1","","1335.58","",,"1335.58","","",,,,,,,,,,,,"0.0","1832.0","false","2294",,,,"282013.0","Qe04836.mzML"
,"0","2293","479",,,,"G2","","0.0","2.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2293&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=479&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,"2293","2","","3897.63","",,"1299.88","","",,,,,,,,,,,,"0.0","2827.615","false","2293",,,,"958459.0","Qe04833.mzML"
,"0","2292","59",,,,"G2","","0.0","1.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2292&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=59&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,"2292","1","","3870.5","",,"1290.83","","",,,,,,,,,,,,"0.0","2661.95","false","2292",,,,"411995.0","Qe04833.mzML"
,"0","2291","59",,,,"G2","","0.0","3.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2291&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=59&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,"2291","3","","3868.49","",,"1290.16","","",,,,,,,,,,,,"0.0","2669.64","false","2291",,,,"1284910.0","Qe04833.mzML"
,"0","2290","3",,,,"G3","2290,2290","0.0","0.0","4.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2290&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,"motif_71,motif_156","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7138462423330427","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3334678496691573","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","nan,nan","nan,nan",,,"2290","4","0.3334678496691573,0.7138462423330427","1289.6","2433.956055,2433.956055",,"1289.6","1289.60205,1289.60205","0.5135951569500136,0.4739113072052765","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2450.375","false","2290",,,,"2556980.0","Qe04834.mzML"
,"0","2289","8",,,,"G5","","0.0","0.0","0.0","0.0","1.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2289&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=8&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,"2289","1","","1289.57","",,"1289.57","","",,,,,,,,,,,,"0.0","1831.29","false","2289",,,,"275466.0","Qe04836.mzML"
,"0","2288","3",,,,"G1","2288,2288","1.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2288&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,"motif_156,motif_122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5435759946108597","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6989939484982737","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","nan,nan","nan,nan",,,"2288","1","0.6989939484982737,0.5435759946108597","1287.59","2424.126709,2424.126709",,"1287.59","1287.5860599999999,1287.5860599999999","0.4476849319800428,0.5521826953972587","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2424.13","false","2288",,,,"1995780.0","Qe04832.mzML"
,"0","2287","3",,,,"G1,G3","2287,2287","5.0","0.0","3.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2287&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,"motif_156,motif_122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.656981508895588","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7020184334985732","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","nan,nan","nan,nan",,,"2287","8","0.7020184334985732,0.656981508895588","1287.59","2402.31543,2402.31543",,"1287.59","1287.5860599999999,1287.5860599999999","0.3955291646506585,0.5521054670001221","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2423.575","false","2287",,,,"3368800.0","Qe04834.mzML|Qe04832.mzML"
,"0","2286","3",,,,"G1","2286","1.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2286&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,"rhamn_motif_121.m2m","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","CHOOH loss - indicative for underivatized carboxylic acid group","http://ms2lda.org/motifdb/motif/171157",,,"2286","1","0.4948640776360477","1285.57","2380.478027",,"1285.57","1285.56995","0.2585011677806025","0.0","0.0","0.0","0.4948640776360477","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2380.48","false","2286",,,,"235428.0","Qe04832.mzML"
